Double ka meetha,"Loaf bread, milk"
Gavvalu,"Rice flour, sugar, salt, ghee, semolina"
Kakinada khaja,"Wheat flour, sugar"
Kuzhi paniyaram,"Black lentils, rice"
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee"
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom"
Palathalikalu,"Rice flour, milk"
Poornalu,"Chana dal, jaggery"
Pongal,"Rice, jaggery, cashews, ghee"
Pootharekulu,"Rice flour, powdered sugar, ghee"
Qubani ka meetha,"Apricots, sugar syrup"
Sheer korma,"Vermicelli pudding, milk"
Unni Appam,"Rice flour, banana, jaggery, coconut"
Kajjikaya,"Rice flour, jaggery, coconut"
Anarsa,"Rice flour, jaggery, khus-khus seeds"
Basundi,"Sugar, milk, nuts"
Dhondas,"Cucumber, rava"
Doodhpak,"Milk, rice, sugar, dry fruits"
Mahim halwa,"Semolina, sugar"
Modak,"Rice flour, coconut, jaggery "
Shankarpali,"Sugar, ghee, maida flour, semolina"
Shrikhand,"Curd, sugar, saffron, cardamom"
Sutar feni,"Maida, sugar, ghee"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic"
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic"
Chak Hao Kheer,"Rice, milk, sugar, cardamom"
Galho,"Rice, axone, salt, water, chillies, pork"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves"
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic"
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder"
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies"
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil"
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala"
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg"
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond"
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour"
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice"
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder"
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili"
Kofta,"Paneer, potato, cream, corn flour, garam masala"
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies"
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies"
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli"
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger"
Misi roti,"Whole wheat flour, chickpea flour, green chilies"
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum"
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes"
Naan,"Whole wheat flour, honey, butter, garlic"
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder"
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter"
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter"
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper"
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon"
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina"
Papad,"Urad dal, sev, lemon juice, chopped tomatoes"
Paratha,"Wheat flour, butter, potato, coriander"
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon"
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil"
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil"
Samosa,"Potatoes, green peas, garam masala, ginger, dough"
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil"
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato"
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds"
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot"
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil"
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper"
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli"
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal"
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans"
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves"
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt"
Idiappam,"Rice flour, hot water, grated coconut"
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt"
Kanji,"Carrot, yellow mustard, red chilli, black salt"
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato"
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil"
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach"
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds"
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili"
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder"
Kootu,"Chana dal, urad dal, potato, beans, peas"
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves"
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice"
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves"
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut"
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves"
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha"
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds"
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli"
Papadum,"Lentils, black pepper, vegetable oil"
Paravannam,"Raw rice,  jaggery, milk"
Payasam,"Rice, cashew nuts, milk, raisins, sugar"
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds"
Pesarattu,"Green moong beans, rice flour"
Poriyal,"Chana dal, urad dal, beans, coconut, mustard"
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves"
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water"
Puttu,"Brown rice flour, sugar, grated coconut"
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind"
Sandige,"Thin rice flakes, black sesame seeds, curry leaves"
Sevai,"Sevai, parboiled rice, steamer"
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds"
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind"
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter"
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper"
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon"
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar"
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water"
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli"
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger"
Saath,"Urad dal, potatoes, wheat flour, sooji"
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water"
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews"
Bhakri,"Jowar flour, sesame seeds"
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies"
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli"
Chevdo,"Citric acid, fry, raisins, sugar, chana daal"
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt"
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut"
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour"
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise"
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind"
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli"
Dhokla,"Rava, coconut, gram flour, mustard, sesame"
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter"
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour"
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds"
Ghooghra,"Dry fruits, semolina, all purpose flour"
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal"
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk"
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes"
Kansar,"Wheat flour, cashews, rapeseed oil"
Keri no ras,"Mango, sugar"
Khakhra,"Whole wheat flour, low fat, bengal gram flour"
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili"
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric"
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted"
Koshimbir,"Cucumber, carrot, tomatoes, cilantro"
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves"
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron"
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour"
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli"
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls"
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves"
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili"
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic"
Sev tameta,"Sev, ginger, tomato, sugar"
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil"
Sukhdi,"Whole wheat flour, gur, clarified butter"
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut"
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds"
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas"
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut"
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon"
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour"
Mag Dhokli,"Moong beans, jaggery, red chillies, oil, salt"
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil"
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour"
Farsi Puri,"Semolina, clarified butter, oil, white flour, black pepper"
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour"
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas"
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur"
Cheera Doi,"Rice, mango, curd"
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind"
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds"
Kumol Sawul,"Rice, eggs, carrot, beetroot"
Luchi,"Maida, vegetable oil"
Alu Pitika,"Potatoes, mustard oil, fish, green chillies"
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil"
Bengena Pitika,"Brinjal, onions, salt, sesame seeds, coriander"
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf"
Black rice,"Forbidden black rice, chicken, olive oil, slivered almonds, garlic powder"
Bora Sawul,"Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds"
Brown Rice,"Brown rice, soy sauce, olive oil"
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion"
Goja,"Baking soda, clarified butter, oil, all purpose flour"
Hando Guri,"Jaggery, raisins"
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf"
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili"
Kabiraji,"Fish fillet, besan, lemon, mint, ginger"
Khorisa,"Fermented bamboo shoot, potato, ginger, green, mustard oil"
Koldil Chicken,"Banana flower, chicken, green chili, mustard oil, lemon juice"
Konir Dom,"Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick"
Koldil Duck,"Rice flour, mutton, banana, gram flour, olive oil, baking powder"
Masor Koni,"Fish roe, pumpkin flowers, mustard oil, turmeric, tomato"
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins"
Pakhala,"Curd, cooked rice, curry leaves, dry chilli"
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice"
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods"
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar"
Red Rice,"Red pepper, red onion, butter, watercress, olive oil"
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal"
Til Pitha,"Glutinous rice, black sesame seeds, gur"
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour"
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam"
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour"
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder"
